,Elapsed Time,Left Stride Interval ,Right Stride Interval,Left Swing Interval_Sec,Right Swing Interval_Sec,Left Swing Interval,Right Swing Interval,Left Stance Interval_Sec,Right Stance Interval_sec,Left Stance Interval,Right Stance Interval,Double Support Interval_sec,Double Support Interval
0,22.4633,1.32,1.28,0.49,0.4833,37.12,37.76,0.83,0.7967,62.88,62.24,0.3467,26.26
1,23.7767,1.3133,1.32,0.4667,0.4567,35.53,34.6,0.8467,0.8633,64.47,65.4,0.39,29.7
2,25.0333,1.2567,1.29,0.45,0.45,35.81,34.88,0.8067,0.84,64.19,65.12,0.3567,28.38
3,26.31,1.2767,1.2567,0.4733,0.4633,37.08,36.87,0.8033,0.7933,62.92,63.13,0.34,26.63
4,27.58,1.27,1.2767,0.4367,0.4433,34.38,34.73,0.8333,0.8333,65.62,65.27,0.39,30.71
5,28.8467,1.2667,1.2767,0.44,0.45,34.74,35.25,0.8267,0.8267,65.26,64.75,0.3767,29.74
6,30.1133,1.2667,1.2533,0.4667,0.4367,36.84,34.84,0.8,0.8167,63.16,65.16,0.3633,28.68
7,31.4133,1.3,1.2833,0.48,0.4633,36.92,36.1,0.82,0.82,63.08,63.9,0.3567,27.44
8,32.6333,1.22,1.2567,0.45,0.43,36.89,34.22,0.77,0.8267,63.11,65.78,0.34,27.87
9,33.8867,1.2533,1.2333,0.4633,0.45,36.97,36.49,0.79,0.7833,63.03,63.51,0.34,27.13
10,35.1233,1.2367,1.26,0.4367,0.4433,35.31,35.19,0.8,0.8167,64.69,64.81,0.3567,28.84
11,36.4467,1.3233,1.2633,0.47,0.4533,35.52,35.88,0.8533,0.81,64.48,64.12,0.4,30.23
12,37.7567,1.31,1.3433,0.4833,0.4667,36.9,34.74,0.8267,0.8767,63.1,65.26,0.36,27.48
13,39.01,1.2533,1.2833,0.4367,0.4633,34.84,36.1,0.8167,0.82,65.16,63.9,0.3533,28.19
14,40.3667,1.3567,1.3,0.4633,0.4667,34.15,35.9,0.8933,0.8333,65.85,64.1,0.4267,31.45
15,41.59,1.2233,1.29,0.4267,0.43,34.88,33.33,0.7967,0.86,65.12,66.67,0.3667,29.97
16,42.8233,1.2333,1.21,0.4467,0.43,36.22,35.54,0.7867,0.78,63.78,64.46,0.3567,28.92
17,44.0667,1.2433,1.2333,0.4467,0.43,35.92,34.86,0.7967,0.8033,64.08,65.14,0.3667,29.49
18,45.2867,1.22,1.25,0.44,0.44,36.07,35.2,0.78,0.81,63.93,64.8,0.34,27.87
19,46.5633,1.2767,1.24,0.4633,0.4533,36.29,36.56,0.8133,0.7867,63.71,63.44,0.36,28.2
20,47.8067,1.2433,1.25,0.4633,0.4333,37.27,34.67,0.78,0.8167,62.73,65.33,0.3467,27.88
21,49.06,1.2533,1.26,0.46,0.45,36.7,35.71,0.7933,0.81,63.3,64.29,0.3433,27.39
